S.No,un_number,proper_shipping_name,simplified_name,hazard_class,subsidiary_risks,packing_group,hazard_labels_required,erg_guide_number,special_provisions,qty_ltd_passenger_aircraft,packing_instruction_passenger_aircraft,qty_ltd_cargo_aircraft,packing_instruction_cargo_aircraft,description_notes,is_marine_pollutant,is_environmentally_hazardous
155,1310 ,"Ammonium picrate, wetted (with not less than 10% water, by weight)","Ammonium picrate, Ammonium, picrate",4.1,,,Flamm. solid,113,,,,,,,FALSE,FALSE
156,2818 ,Ammonium polysulphide solution ,"Ammonium polysulphide solution, Ammonium, polysulphide",8,6.1,,Corrosive & Toxic,154,,,,,,,FALSE,FALSE
157,2861 ,Ammonium polyvanadate ,"Ammonium polyvanadate, Ammonium, polyvanadate",6.1,,,Toxic,151,,,,,,,FALSE,FALSE
158,2683 ,Ammonium sulphide solution ,"Ammonium sulphide solution, Ammonium, sulphide",8,"3,6.1",,Corrosive & Flamm. liquid & Toxic,132,,,,,,,FALSE,FALSE
159,0171 ,"Ammunition, illuminating † (with or without burster, expelling charge or propelling charge)",Ammunition,1.2G,,,,,,,,,,,FALSE,FALSE
160,0254 ,"Ammunition, illuminating † (with or without burster, expelling charge or propelling charge)",Ammunition,1.3G,,,,,,,,,,,FALSE,FALSE
161,0297,"Ammunition, illuminating † (with or without burster, expelling charge or propelling charge)",Ammunition,1.4G ,,,Explosive 1.4,,,,,,,,FALSE,FALSE
162,0009 ,"Ammunition, incendiary † (with or without burster, expelling charge or propelling charge)","Ammunition, incendiary",1.2G,,,,,,,,,,,FALSE,FALSE
163,0010 ,"Ammunition, incendiary † (with or without burster, expelling charge or propelling charge)","Ammunition, incendiary",1.3G,,,,,,,,,,,FALSE,FALSE
164,0247 ,"Ammunition, incendiary † (liquid or gel, with burster, expelling charge or propelling charge)","Ammunition, incendiary",1.3J,,,,,,,,,,,FALSE,FALSE
165,0300 ,"Ammunition, incendiary † (with or without burster, expelling charge or propelling charge)","Ammunition, incendiary",1.4G ,,,Explosive 1.4,,,,,,,,FALSE,FALSE
166,0243 ,"Ammunition, incendiary, white phosphorus † (with burster, expelling charge or propelling charge)","Ammunition, incendiary, phosphorus",1.2H,,,,,,,,,,,FALSE,FALSE
167,0244,"Ammunition, incendiary, white phosphorus † (with burster, expelling charge or propelling charge)","Ammunition, incendiary, phosphorus",1.3H,,,,,,,,,,,FALSE,FALSE
168,0488,"Ammunition, practice † ",Ammunition,1.3G,,,,,,,,,,,FALSE,FALSE
169,0362 ,"Ammunition, practice † ",Ammunition,1.4G ,,,Explosive 1.4,,,,,,,,FALSE,FALSE
170,0363 ,"Ammunition, proof †",Ammunition,1.4G ,,,Explosive 1.4,,,,,,,,FALSE,FALSE
171,0015 ,"Ammunition, smoke † (with or without burster, expelling charge or propelling charge)","Ammunition, smoke",1.2G,,,,,,,,,,,FALSE,FALSE
172,0016 ,"Ammunition, smoke † (with or without burster, expelling charge or propelling charge)","Ammunition, smoke",1.3G,,,,,,,,,,,FALSE,FALSE
173,0303 ,"Ammunition, smoke † (with or without burster, expelling charge or propelling A802 charge)","Ammunition, smoke",1.4G ,,,Explosive 1.4,,,,,,,,FALSE,FALSE
174,0245 ,"Ammunition, smoke, white phosphorus † (with burster, expelling charge or propelling charge)","Ammunition, smoke, phosphorus",1.2H,,,,,,,,,,,FALSE,FALSE
